,domain,nb_item,nb_item_search,nb_item_bought,413163,
1846,MLB-JUMPSUITS_AND_OVERALLS,5661,20847,728,231168,56%
2356,MLB-HOME_SUPPLIES,6293,13050,726,231894,56%
2416,MLB-MAKEUP_TRAIN_CASES,1061,11622,721,232615,56%
2895,MLB-HOVERBOARDS,802,7659,721,233336,56%
1774,MLB-JACKETS_AND_COATS,4930,15416,717,234053,57%
2346,MLB-ROUTERS,1232,4144,717,234770,57%
312,MLM-HARD_DRIVES_AND_SSDS,861,3450,716,235486,57%
2376,MLB-BABIES_FOOTWEAR,2372,9479,715,236201,57%
87,MLM-JACKETS_AND_COATS,2940,11529,712,236913,57%
2734,MLB-KITCHEN_COOKWARE_SETS,2028,10429,708,237621,58%
2874,MLB-BLENDERS,1126,4618,706,238327,58%
120,MLM-BACKPACKS,2665,9981,696,239023,58%
1991,MLB-WATER_PURIFIERS_FILTERS,1566,6691,696,239719,58%
3053,MLB-BEARD_OILS_AND_BALMS,880,3178,693,240412,58%
29,MLM-SWEATSHIRTS_AND_HOODIES,3071,10398,692,241104,58%
72,MLM-COSTUMES,4602,10495,689,241793,59%
1777,MLB-STUFFED_TOYS,3848,9394,670,242463,59%
3428,MLB-SOFA_AND_FUTON_COVERS,1288,5995,664,243127,59%
1578,MLB-RAM_MEMORY_MODULES,1808,4606,653,243780,59%
1,MLM-VIDEO_GAMES,2892,5504,652,244432,59%
2119,MLB-ROLLER_SKATES,1489,8306,650,245082,59%
2055,MLB-DESIGN_AND_MULTIMEDIA_SOFTWARE,1442,2430,646,245728,59%
2225,MLB-BLOUSES,6730,20857,633,246361,60%
2678,MLB-MOBILE_DEVICE_CHARGERS,1603,4476,625,246986,60%
2114,MLB-SKIRTS,4173,16139,623,247609,60%
2162,MLB-VACUUM_CLEANERS,1184,4789,618,248227,60%
2910,MLB-SKIN_CARE_SUPPLIES,2111,5378,616,248843,60%
2443,MLB-WELDING_MACHINES,1346,8288,612,249455,60%
2770,MLB-POWER_GRINDERS,855,4867,601,250056,61%
2517,MLB-HATS_AND_CAPS,5567,13145,597,250653,61%
1563,MLB-FOG_LIGHTS,3562,7442,593,251246,61%
2025,MLB-VEHICLE_MULTIMEDIA_SYSTEMS,4201,12286,592,251838,61%
2639,MLB-VEGETABLES_AND_FRUITS_CHOPPERS,893,3594,583,252421,61%
2479,MLB-NECKLACES,6371,14597,580,253001,61%
2525,MLB-KEYBOARD_AND_MOUSE_KITS,1099,4654,580,253581,61%
2365,MLB-LINGERIE_SETS,2027,9852,579,254160,62%
2408,MLB-NAIL_DRYERS,841,5257,579,254739,62%
3183,MLB-AUTOMOTIVE_CELLPHONE_AND_GPS_MOUNTS,1216,4111,576,255315,62%
2077,MLB-HAIR_EXTENSIONS,2938,10280,571,255886,62%
2118,MLB-WALLETS,2347,8319,567,256453,62%
2671,MLB-BRAS,1710,6839,567,257020,62%
2313,MLB-MAKEUP_BRUSHES,1256,6978,558,257578,62%
409,MLM-MEMORY_CARDS,539,3423,555,258133,62%
2041,MLB-COMPUTER_EQUIPMENT_AND_SPARE_PARTS,6307,8911,541,258674,63%
1996,MLB-ARTS_AND_CRAFTS,9085,14208,540,259214,63%
1799,MLB-KITCHEN_SUPPLIES,9308,15586,538,259752,63%
1779,MLB-TOOL_ACCESSORIES_AND_SPARES,7682,11942,535,260287,63%
1755,MLB-ELECTRONIC_PRODUCTS,6544,10627,532,260819,63%
3647,MLB-VEHICLE_BATTERY_CHARGERS,830,3065,528,261347,63%
2857,MLB-ORTHOPEDICS,722,2896,525,261872,63%
3841,MLB-AUDIO_AND_VIDEO_CONVERTERS,723,2677,524,262396,64%
2228,MLB-SEWING_MACHINES,1201,5278,523,262919,64%
2229,MLB-FLASHLIGHTS,1477,4847,522,263441,64%
2015,MLB-AUTOMOTIVE_HEADLIGHTS,4039,7742,521,263962,64%
2345,MLB-TV_AND_MONITOR_MOUNTS,1049,4138,518,264480,64%
2403,MLB-PORTABLE_EVAPORATIVE_AIR_COOLERS,930,6169,518,264998,64%
1559,MLB-CAR_SEAT_COVERS,4403,9351,516,265514,64%
3030,MLB-BABY_CLOTHING,1541,8283,516,266030,64%
233,MLM-BODY_SHAPERS,1147,4631,513,266543,65%
101,MLM-VEHICLE_STEREOS,657,4478,508,267051,65%
1574,MLB-VEHICLE_LED_BULBS,3495,8396,506,267557,65%
3229,MLB-CLEANING_MOPS,934,4256,505,268062,65%
1754,MLB-CELLPHONE_TABLET_AND_GPS_SCREEN_PROTECTORS,2428,5386,499,268561,65%
590,MLM-CELLPHONE_BATTERIES,622,2116,495,269056,65%
1958,MLB-SHIRTS,4950,14832,495,269551,65%
4022,MLB-WALKIE_TALKIES,690,2458,489,270040,65%
1365,MLM-COOKING_SCALES,209,1907,487,270527,65%
1895,MLB-FLATS,2874,9889,483,271010,66%
2606,MLB-HOME_APPLIANCES,2489,5533,482,271492,66%
1952,MLB-GARDEN_HOSES,828,2821,474,271966,66%
2669,MLB-BIRD_EGGS_INCUBATORS,374,3887,470,272436,66%
3196,MLB-MOTORCYCLE_RAIN_SUITS,964,4472,469,272905,66%
2209,MLB-TABLE_AND_DESK_LAMPS,2161,5698,457,273362,66%
2098,MLB-TOOLS,7151,11712,455,273817,66%
2674,MLB-SUITS,1606,7076,452,274269,66%
2876,MLB-WEDDING_BANDS,1952,8927,450,274719,66%
2780,MLB-GATE_MOTORS,875,3722,447,275166,67%
2824,MLB-MOTORCYCLE_REARVIEW_MIRRORS,987,3168,446,275612,67%
2099,MLB-GARDEN_AND_OUTDOOR_SUPPLIES,2646,5770,442,276054,67%
202,MLM-SUPPLEMENTS,1760,4099,438,276492,67%
3842,MLB-MICRONEEDLE_ROLLERS,379,2009,435,276927,67%
281,MLM-AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS,1235,3104,431,277358,67%
2991,MLB-WIRELESS_FM_TRANSMITTERS,1073,3032,426,277784,67%
2026,MLB-BRACELETS_AND_ANKLE_BRACES,2771,7070,424,278208,67%
1758,MLB-PARTY_SUPPLIES,6842,12633,421,278629,67%
2846,MLB-AUTOMOTIVE_IGNITION_KEYS,1695,3936,421,279050,68%
3256,MLB-MARTIAL_ARTS_AND_BOXING_GLOVES,754,4000,421,279471,68%
3203,MLB-FOODS_AND_DRINKS,2311,3455,415,279886,68%
243,MLM-SUNGLASSES,1423,4412,411,280297,68%
44,MLM-SNEAKERS,9824,18320,408,280705,68%
2156,MLB-DECORATIVE_PAINTINGS,6454,14191,404,281109,68%
1565,MLB-TV_STORAGE_UNITS,1922,10981,402,281511,68%
21,MLM-DATA_CABLES_AND_ADAPTERS,1295,3737,401,281912,68%
2095,MLB-ELECTRIC_CIRCULAR_SAWS,915,3963,400,282312,68%
1963,MLB-KIDS_TENTS,626,3851,399,282711,68%
3552,MLB-HAIR_DRYERS,1314,3871,399,283110,69%
2105,MLB-AUTOMOTIVE_TIRES,4657,11823,397,283507,69%
3056,MLB-SPORT_WATCHES,1559,5002,396,283903,69%
247,MLM-SURVEILLANCE_CAMERAS,948,4238,392,284295,69%
2357,MLB-DRYING_RACKS,766,2874,391,284686,69%
2457,MLB-REMOTE_CONTROL_TOY_VEHICLES,1655,6038,390,285076,69%
2650,MLB-DRILL_BITS,1588,4512,389,285465,69%
3855,MLB-CAMERA_TRIPODS,621,2495,389,285854,69%
1558,MLB-VEHICLE_PARTS,18727,23433,387,286241,69%
2369,MLB-CRAFT_MOLDS,1429,4791,386,286627,69%
5050,MLB-INFRARED_THERMOMETERS,192,1279,386,287013,69%
3105,MLB-HEALTH_CARE_SUPPLIES,1665,3864,385,287398,70%
2493,MLB-COFFEE_CAPSULES,567,1788,382,287780,70%
3426,MLB-CHRISTMAS_LIGHTS,1108,3835,382,288162,70%
321,MLM-SPEAKERS,2212,6154,381,288543,70%
2452,MLB-TRADING_CARD_GAMES,1598,3879,381,288924,70%
2563,MLB-COMPUTER_MICE,1267,3024,377,289301,70%
3357,MLB-OFFICE_CHAIRS,1210,4961,377,289678,70%
3578,MLB-DEEP_FRYERS,1164,4809,376,290054,70%
4128,MLB-INDUSTRIAL_MAGNETS,315,1335,376,290430,70%
2100,MLB-INFLATABLE_POOLS,903,4422,375,290805,70%
3266,MLB-BABY_PUZZLE_PLAY_MATS,620,3486,373,291178,70%
2083,MLB-CRIB_BEDDING_SETS,1383,6822,371,291549,71%
3369,MLB-UKULELES,502,2268,371,291920,71%
2360,MLB-ELECTRONIC_ACCESSORIES_AND_SPARE_PARTS,5340,8542,369,292289,71%
3848,MLB-KITCHEN_PLAYSETS,841,4691,368,292657,71%
4394,MLB-HARD_DRIVE_AND_SSD_ENCLOSURES,421,1447,365,293022,71%
1844,MLB-ANIMAL_AND_PET_PRODUCTS,3180,5506,359,293381,71%
39,MLM-NON_CORRECTIVE_CONTACT_LENSES,556,2911,355,293736,71%
2544,MLB-SOCKS,1549,3595,355,294091,71%
4007,MLB-ELECTRIC_FACIAL_BRUSHES_AND_SPONGES,404,2104,355,294446,71%
2449,MLB-HUMIDIFIERS_AND_VAPORIZERS,608,2695,352,294798,71%
2165,MLB-CLOTHES_HANGERS,833,2767,349,295147,71%
1585,MLM-INDUSTRIAL_AND_COMMERCIAL_SCALES,198,1309,348,295495,72%
2316,MLB-GAME_CONSOLES_VIDEO_GAMES_AND_ARCADE_MACHINES,4152,7234,347,295842,72%
2700,MLB-DISPOSABLE_CUPS,1284,4864,347,296189,72%
102,MLM-BOOKS,2437,3966,339,296528,72%
2709,MLB-DATA_CABLES_AND_ADAPTERS,1949,3919,339,296867,72%
2902,MLB-ELECTRIC_DRILLS,795,3295,339,297206,72%
1800,MLB-LAPTOP_CHARGERS,983,1771,336,297542,72%
99,MLM-COMPUTER_EQUIPMENT_AND_SPARE_PARTS,2467,4017,334,297876,72%
248,MLM-CAR_LIGHT_BULBS,1305,4370,334,298210,72%
105,MLM-HAIR_TREATMENTS,546,1951,333,298543,72%
219,MLM-LAPTOP_CHARGERS,494,1354,331,298874,72%
4462,MLB-MANUAL_DRINKING_WATER_PUMPS,214,1025,329,299203,72%
16,MLM-UNCLASSIFIED_PRODUCTS,2913,4391,325,299528,72%
336,MLM-PENDRIVES,741,2210,322,299850,73%
2213,MLB-SCHOOL_AND_OFFICE_PAPERS,1921,3902,322,300172,73%
2480,MLB-FOOTWEAR,1486,3399,318,300490,73%
3727,MLB-LASER_MEASURES,279,1375,316,300806,73%
3388,MLB-HOOKAHS,1025,5133,312,301118,73%
4164,MLB-HAIR_BRUSHES,858,3082,312,301430,73%
94,MLM-STREAMING_MEDIA_DEVICES,656,2805,311,301741,73%
3620,MLB-SUITCASES,1201,5728,311,302052,73%
2827,MLB-LEGGINGS,2354,7706,308,302360,73%
3383,MLB-FALSE_EYELASHES,1601,4294,307,302667,73%
2960,MLB-CELL_BATTERIES,1039,1908,304,302971,73%
2084,MLB-AUTOMOTIVE_SPEAKERS,5266,12812,303,303274,73%
2516,MLB-GLASSES_FRAMES,2376,6557,302,303576,73%
2172,MLB-CHINESE_MEDICAL_CUPS_SETS,256,1709,299,303875,74%
2618,MLB-INK_CARTRIDGES,1121,2128,298,304173,74%
2875,MLB-WASHING_MACHINES,1433,6695,296,304469,74%
7101,MLB-PRINTER_SOFTWARE,92,198,295,304764,74%
3447,MLB-ANIMAL_CLIPPERS,446,1974,294,305058,74%
2102,MLB-HAIR_SHAMPOOS_AND_CONDITIONERS,3451,7038,293,305351,74%
4734,MLB-WELDING_MASKS,413,1737,293,305644,74%
3668,MLB-AB_ROLLER_WHEELS,320,1578,291,305935,74%
2605,MLB-HAIRDRESSING_ACCESSORIES,986,2040,288,306223,74%
2350,MLB-SHOWER_HEADS,1377,3493,287,306510,74%
4361,MLB-ORTHOTICS,463,1594,286,306796,74%
2566,MLB-VEHICLE_CAMERAS,903,2858,285,307081,74%
4092,MLB-HAIRDRESSING_SCISSORS,587,2784,284,307365,74%
187,MLM-BODY_SKIN_CARE_PRODUCTS,710,2083,283,307648,74%
146,MLM-MARKERS_AND_HIGHLIGHTERS,378,2013,280,307928,75%
299,MLM-DOOR_AND_WINDOW_AWNINGS_AND_EAVES,279,1721,279,308207,75%
88,MLM-MOBILE_DEVICE_CHARGERS,856,2501,276,308483,75%
1576,MLB-PENDRIVES,1115,2513,276,308759,75%
2037,MLB-COOKTOPS,774,4154,276,309035,75%
3108,MLB-GIFT_CARDS,257,687,275,309310,75%
3863,MLB-INDUSTRIAL_AND_COMMERCIAL_SCALES,395,1686,275,309585,75%
3119,MLB-CARS_AND_VANS_COVERS,1242,2314,274,309859,75%
3130,MLB-PC_KEYBOARDS,1287,3640,274,310133,75%
4399,MLB-DISPOSABLE_BABY_DIAPERS,1191,3087,274,310407,75%
2659,MLB-NAIL_STICKERS,804,4256,272,310679,75%
663,MLM-SHOE_RACKS,293,1591,271,310950,75%
1773,MLB-RESISTANCE_BANDS,595,2079,271,311221,75%
93,MLM-PORTABLE_CELLPHONE_CHARGERS,483,2267,266,311487,75%
3609,MLB-ELECTRIC_SQUEEZERS,309,1593,266,311753,75%
2878,MLB-INDUSTRIAL_AND_COMMERCIAL_BAG_SEALERS,442,1308,265,312018,76%
168,MLM-T_SHIRTS,4307,7905,263,312281,76%
3470,MLB-HAMMER_DRILLS,707,3581,262,312543,76%
200,MLM-PRINTER_INKS,336,1165,261,312804,76%
709,MLM-LED_STRIPS,515,2323,260,313064,76%
3723,MLB-WATER_DISPENSERS,568,2798,260,313324,76%
2755,MLB-KIDS_TRICYCLES,727,3645,259,313583,76%
3344,MLB-CHRISTMAS_TREE_ORNAMENTS,652,2623,258,313841,76%
1998,MLB-DECORATIVE_VINYLS,4230,11134,257,314098,76%
2711,MLB-CLOTHING_LOTS,1610,5962,256,314354,76%
2344,MLB-INDUSTRIAL_AND_COMMERCIAL_EQUIPMENT,10252,15209,255,314609,76%
1532,MLB-TV_REPLACEMENT_BACKLIGHT_LED_STRIPS,937,1602,253,314862,76%
2565,MLB-LED_STAGE_LIGHTS,1271,3476,251,315113,76%
193,MLM-HANDBAGS,1456,4759,250,315363,76%
164,MLM-MAKEUP_BRUSHES,490,3102,249,315612,76%
265,MLM-PERFUMES,1899,3283,249,315861,76%
1965,MLB-COOKING_OILS,351,1005,249,316110,77%
2627,MLB-NEBULIZERS,508,1724,249,316359,77%
153,MLM-WALLETS,1456,4264,245,316604,77%
313,MLM-PRINTERS,940,3108,245,316849,77%
36,MLM-DRESSES,3391,7794,242,317091,77%
2628,MLB-COMPUTER_MONITORS,1319,3588,242,317333,77%
2885,MLB-MAKEUP_SETS,1007,4757,241,317574,77%
4358,MLB-KNEE_BRACES_SUPPORTS,419,1614,241,317815,77%
169,MLM-ROUTERS_AND_WIRELESS_SYSTEMS,432,1617,239,318054,77%
2396,MLB-BABY_ACTIVITY_CENTERS,878,2932,239,318293,77%
2788,MLB-MANUAL_AIR_PUMPS,400,1521,238,318531,77%
4497,MLB-MATTRESS_COVERS,459,1355,237,318768,77%
2637,MLB-CAR_SCANNERS,794,2132,236,319004,77%
1569,MLB-NAIL_FILES,821,3294,235,319239,77%
1994,MLB-NOTEBOOKS,4031,12861,235,319474,77%
4479,MLB-OXIMETERS,209,1078,235,319709,77%
239,MLM-CELLPHONE_TABLET_AND_GPS_SCREEN_PROTECTORS,1038,2842,234,319943,77%
3433,MLB-ELECTRIC_LUNCHBOXES,293,1356,234,320177,77%
4052,MLB-MULTIMETERS,663,1882,234,320411,78%
14,MLM-BEAUTY_AND_PERSONAL_CARE_SUPPLIES,1382,2421,233,320644,78%
2924,MLB-TENTS,996,3354,233,320877,78%
4146,MLB-MARTIAL_ARTS_UNIFORMS,612,2033,233,321110,78%
3721,MLB-VR_HEADSETS,353,1464,232,321342,78%
2645,MLB-THERMAL_REFRIGERATORS_AND_BAGS,1522,4367,231,321573,78%
2470,MLB-CAR_LIGHT_BULBS,2481,4451,230,321803,78%
3118,MLB-WRENCHES,916,3009,230,322033,78%
2442,MLB-REFRIGERATORS,2294,10842,229,322262,78%
3537,MLB-BABY_CRIBS_AND_BASSINETS,401,1738,229,322491,78%
2245,MLB-CAT_AND_DOG_DRINKERS_AND_FEEDERS,743,2091,228,322719,78%
128,MLM-NECKLACES,1859,4441,227,322946,78%
3020,MLB-BICYCLE_ACCESSORIES_AND_SPARE_PARTS,2346,4418,226,323172,78%
3353,MLB-DOLLHOUSES,639,3243,226,323398,78%
346,MLM-HAIR_SHAMPOOS_AND_CONDITIONERS,518,1436,225,323623,78%
2648,MLB-EMBEDDED_SWITCH_MODE_POWER_SUPPLIES,394,1280,225,323848,78%
3155,MLB-TOY_DRUMS,425,1985,224,324072,78%
197,MLM-INDUSTRIAL_AND_COMMERCIAL_EQUIPMENT,2171,2742,222,324294,78%
329,MLM-FLASHLIGHTS,389,1669,221,324515,79%
419,MLM-BRACELETS_AND_ANKLE_BRACES,1448,3533,221,324736,79%
2404,MLB-THERMOSES,1215,3269,219,324955,79%
3018,MLB-PUNCHING_BAGS,257,1498,219,325174,79%
400,MLM-FACIAL_SKIN_CARE_PRODUCTS,1244,2898,218,325392,79%
5143,MLB-ORTHODONTIC_BRACKETS,255,1255,218,325610,79%
2474,MLB-EPILATORS_AND_TRIMMERS,484,1729,216,325826,79%
3446,MLB-FOUNDATIONS,1231,3063,216,326042,79%
3591,MLB-LASER_LEVELS,421,1917,216,326258,79%
64,MLM-SUITCASES,529,2797,215,326473,79%
3612,MLB-DIMMERS,729,1948,214,326687,79%
4076,MLB-FOOD_PROCESSORS,372,1971,214,326901,79%
213,MLM-AESTHETIC_TREATMENT_TABLES_AND_CHAIRS,193,1638,213,327114,79%
4021,MLB-AIR_CONDITIONER_REMOTE_CONTROLS,521,908,212,327326,79%
3361,MLB-ELECTRIC_GRILLS,549,2271,211,327537,79%
5310,MLB-LADDERS,626,2832,211,327748,79%
2804,MLB-SAFES,449,1791,210,327958,79%
3580,MLB-GAZEBOS,458,2282,209,328167,79%
2006,MLB-CLOTHING,3468,6585,208,328375,79%
3621,MLB-XENON_KITS,518,1683,208,328583,80%
1849,MLB-DIECAST_VEHICLES,4911,8564,206,328789,80%
2433,MLB-EARRINGS,2130,4693,205,328994,80%
2602,MLB-HAMMOCKS,444,1894,205,329199,80%
4194,MLB-FRAME_POOLS,465,2861,205,329404,80%
1955,MLB-AUTOMOTIVE_STEERING_WHEELS,2310,4366,203,329607,80%
2111,MLB-FASHION_ACCESSORIES,1596,3160,203,329810,80%
2868,MLB-TELEPHONES,592,1149,203,330013,80%
2314,MLB-HEELS_AND_WEDGES,1849,5465,202,330215,80%
2722,MLB-PARTY_MASKS,1271,3015,202,330417,80%
144,MLM-BODYWEIGHT_SCALES,194,846,201,330618,80%
2803,MLB-DOOR_AND_STAIR_SAFETY_FENCES,307,1178,201,330819,80%
3643,MLB-HYDRAULIC_VEHICLE_JACKS,429,1470,201,331020,80%
4441,MLB-BATTERY_CHARGERS,361,966,201,331221,80%
121,MLM-MICROCONTROLLER_BOARDS,1331,2759,200,331421,80%
2335,MLB-MANICURE_AND_PEDICURE_SUPPLIES,1112,3482,200,331621,80%
3073,MLB-KITCHEN_BAKING_DISHES_AND_SHEETS,1381,3588,200,331821,80%
3607,MLB-NETWORK_CARDS,668,1538,200,332021,80%
2056,MLB-STOOLS,927,4380,199,332220,80%
2512,MLB-FISHING_RODS,1476,4017,199,332419,80%
3019,MLB-SPORT_SHORTS,1925,5305,198,332617,81%
3503,MLB-ELECTRIC_AIR_PUMPS,168,897,198,332815,81%
940,MLM-WELDING_CURTAINS,207,975,197,333012,81%
274,MLM-GAMEPADS_AND_JOYSTICKS,955,2463,196,333208,81%
2858,MLB-WALLPAPERS,2999,10395,196,333404,81%
3385,MLB-SAFETY_FOOTWEAR,978,3056,196,333600,81%
3997,MLB-FISHING_REELS,1577,4085,196,333796,81%
1972,MLB-BATHROOM_FAUCETS,1254,2477,195,333991,81%
2050,MLB-COMMERCIAL_AND_EVENT_BAGS,1181,2741,195,334186,81%
3157,MLB-TV_REMOTE_CONTROLS,946,1731,193,334379,81%
7,MLM-WALL_AND_CEILING_LIGHTS,1166,2604,191,334570,81%
2626,MLB-PLANTS,2281,4758,191,334761,81%
2983,MLB-ELECTRIC_SCREWDRIVERS,382,1747,191,334952,81%
3082,MLB-BABY_MONITORS,350,1475,191,335143,81%
